0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,24360,24358,24357,24356,24350,24349,24348,24347,24346,24344,24342,24339,24337,24336,24333,24332,24330,24329,24324,24362,24364,24369,24370,24427,24426,24417,24415,24410,24406,24403,24401,24400,24323,24399,24397,24389,24385,24384,24383,24381,24380,24376,24375,24398,24321,24319,24313,24265,24264
38985,12687,7800,18485,13446,6040,6047,18452,31273,13483,6083,31212,1802,31182,18284,18487,18501,31357,6014,31461,5963,5967,38545,13371,18624,1973,18615,13382,13388,13392,31406,1942,31395,31379,38840,31172,9379,18693,31020,18116,25669,18110,31005,25672,13636,18100,6242,39084,13672,13681
14708,40253,34590,18448,11687,37540,33237,38644,21431,3406,12080,6588,4114,27670,26118,5607,30098,29525,2984,541,26996,28675,8465,32150,19205,8723,15865,40089,19975,3797,17904,33326,33907,3685,15965,35851,35840,27377,4676,3224,16341,22110,19092,35288,35298,29380,12168,4007,629,23934
0,25697,25696,25694,25693,25692,25690,25689,25687,25686,25685,25684,25683,25682,25681,25680,25679,25677,25676,25675,25673,25672,25671,25669,25667,25666,25665,25663,25699,25662,25700,25707,25752,25750,25749,25748,25747,25746,25743,25742,25739,25738,25737,25736,25735,25730,25729,25727,25726,25725
2747,22957,28188,6017,16358,33767,12159,17332,11412,25756,11874,626,24532,16558,26571,29446,1412,23697,4116,19557,8892,12480,31325,23638,9917,20053,22144,17322,19816,16942,28272,16920,35814,23694,7805,34805,5977,10013,22408,40660,20785,5479,1689,38938,38572,36544,6149,5580,40385,20514
2747,22957,28188,6017,16358,33767,12159,17332,11412,25756,11874,626,24532,16558,26571,29446,1412,23697,4116,19557,8892,12480,31325,23638,9917,20053,22144,17322,19816,16942,28272,16920,35814,23694,7805,34805,5977,10013,22408,40660,20785,5479,1689,38938,38572,36544,6149,5580,40385,20514
32802,27185,37965,8902,8899,12501,27201,20989,12468,33203,33186,8873,20959,27231,8850,12567,5301,37996,37942,37925,21130,8964,27096,27107,12387,27123,12394,21210,21203,12413,33266,2490,2489,8931,33255,21182,33249,8925,38035,20903,8823,33139,38229,20600,12802,5377,27442,2268,12812,20553
35058,8305,8369,22271,3995,40001,20092,20500,16922,2489,33132,37220,14217,16995,15663,40083,30368,29593,39598,11232,6646,5261,38475,9439,41623,5380,34793,12387,41142,40763,34681,34654,24993,20105,26665,21122,2344,18338,13088,20111,15127,30944,21079,12166,20128,24153,14756,34550,10934,29231
5895,27842,15093,30301,23018,10251,27187,19865,16296,17237,39307,36193,11368,8423,17154,25155,10235,25144,38004,5295,9486,22359,22996,11302,37374,6139,9008,22932,21246,691,6159,35644,6168,11314,37339,33380,10275,11321,32388,24631,14511,30839,1355,9009,2493,8430,9630,26364,5168,6507
9474,31598,31583,31532,31514,31488,31479,8574,8602,8610,31415,8628,31401,8635,8636,31393,31390,31389,31377,31372,8668,31360,31629,31633,8452,8438,8277,31892,31875,8292,31869,8300,8312,8314,31840,31838,31349,31834,31819,8362,8376,31752,8384,31739,8423,31680,31674,31671,31826,8684
35244,17435,23276,31239,14132,31231,10069,10065,14123,23281,23251,27107,31220,27110,38982,33611,36370,33623,18154,12721,23283,7294,19287,17593,38879,10089,2226,7257,27096,38881,23293,23292,14139,15313,31262,14138,24526,5699,38907,33563,39014,31204,39026,31203,2074,31106,12778,31103,5650,12783
2174,32006,11611,30025,36683,22650,22641,41332,5054,22391,6255,30203,30225,36525,22250,30271,36484,30302,10003,22771,36765,10429,9420,9458,36992,9619,23180,23143,39255,29978,41401,41388,1234,23046,9745,22982,29871,36786,23067,30331,10446,22104,30657,4832,10997,21428,36143,21389,21372,21533
23818,26877,4451,25990,707,33756,39525,28530,19558,32268,6867,3058,34319,17106,41604,38387,36581,33486,30280,26135,32819,8716,25835,21249,9573,34724,39538,12972,22891,33315,23771,39622,23776,444,4349,21160,6521,9709,14005,22943,18756,4339,13304,23653,5710,935,19646,936,36864,32284
